stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
1199,42143,Beaux-Arts,BEAUX zARTS,43.616974,3.883531,,,1
1200,42145,Jeu de Mail des Abbés,Jeu de maïle des abé,43.620419,3.884094,,,1
1201,42147,Aiguelongue,AIGUEu LONGUE,43.626259,3.883213,,,1
1202,42149,Saint-Lazare,"Saint, Lazard",43.626747,3.888684,,,1
1203,42151,Charles de Gaulle,charles de gaulle,43.628601,3.897781,,,1
1204,42153,Clairval,claire val,43.63015,3.902601,,,1
1205,42155,La Galine,la ga line,43.631432,3.909022,,,1
1206,42157,Centurions,CENTURIONS,43.632763,3.915718,,,1
1207,42159,Notre-Dame de Sablassou,"notre dame, de SABLA SOU",43.634216,3.922281,,,1
1210,42163,Aube Rouge,AUBEU ROUGE,43.638565,3.924853,,,1
1211,42165,Via Domitia,VIA DO MIssia,43.64674,3.9295,,,1
1212,42167,Georges Pompidou,j'orge POMPIDOU,43.649319,3.921041,,,1
1213,42169,Jacou,JACOU,43.654518,3.912803,,,1
1215,42203,Georges Pompidou,j'orge POMPIDOU,43.649311,3.921004,,,1
1216,42205,Via Domitia,VIA DO MIssia,43.646706,3.929412,,,1
1217,42207,Aube Rouge,aUBEU ROUGE,43.638546,3.924815,,,1
1219,42211,Notre-Dame de Sablassou,"notre dame, de SABLA SOU",43.634243,3.922257,,,1
1220,42213,Centurions,CENTURIONS,43.632801,3.915707,,,1
1221,42215,La Galine,la ga linnE,43.631458,3.909011,,,1
1222,42217,Clairval,clère val,43.630177,3.902589,,,1
1223,42219,Charles de Gaulle,charles de gaulle,43.628628,3.897745,,,1
1224,42221,Saint-Lazare,"Saint, Lazard",43.626774,3.88866,,,1
1225,42223,Aiguelongue,AIGUEu LONGUE,43.626293,3.883201,,,1
1226,42225,Jeu de Mail des Abbés,Jeu de maïle des abé,43.620403,3.884044,,,1
1227,42227,Beaux-Arts,BEAUX zARTS,43.616993,3.883494,,,1
1228,42229,Corum,CORUM,43.614426,3.882026,,,1
1229,42231,Les Aubes,LES AUBES,43.613953,3.888225,,,1
1230,42233,Pompignane,POMPIGNANE,43.612587,3.894918,,,1
1232,42237,Rives du Lez - Consuls de Mer,rive du lèze - consul de mer,43.604023,3.893955,,,1
1233,42239,Voltaire,voltère,43.603725,3.889097,,,1
1234,42241,Place Carnot,PLACE CARNOT,43.603695,3.884284,,,1
1235,42243,Gare Saint-Roch,GARE SAINT ROCH,43.6045,3.879717,,,1
1236,42245,Rondelet,RONdeu LET,43.603111,3.876067,,,1
1237,42247,Nouveau Saint-Roch,nouveau saint roch,43.599361,3.875632,,,1
1238,42249,Saint-Cléophas,sAINT CLéo PHASse,43.594917,3.875933,,,1
1239,42251,Lemasson,LEu MAsson,43.593651,3.873116,,,1
1240,42253,Mas Drevon,masse dreu vont,43.595509,3.867835,,,1
1241,42255,Croix d'Argent,CROIX D'ARGENT,43.5924,3.866416,,,1
1242,42257,Villeneuve d'Angoulême,"Villeuneuve, d'Angoulême",43.588779,3.865651,,,1
1243,42259,Sabines,SABINE,43.583775,3.860138,,,1
1245,42263,Victoire 2,"victoire, 2",43.575203,3.849844,,,1
1246,42265,La Condamine,LA - conda mine,43.571594,3.844198,,,1
1247,42267,Saint-Jean le Sec,Saint j'en LE SEC,43.570892,3.837923,,,1
1256,5133,Hortus,HORTUSse,43.643215,3.860115,,,1
1257,5134,Nazareth,NAZARETH,43.621696,3.880293,,,1
1259,5136,Aiguelongue,AIGUEu LONGUE,43.626408,3.882177,,,1
1261,5232,Nazareth,NAZARETH,43.621651,3.880242,,,1
1262,5233,Sainte-Odile,SAINTE ODILE,43.622616,3.873165,,,1
1263,5234,Marie Caizergues,MARIE CAIZERGUES,43.621227,3.875417,,,1
1264,5236,Aiguelongue,AIGUEu LONGUE,43.626759,3.882076,,,1
1265,6123,Plan des 4 Seigneurs,"PLAN, des 4 SEIGNEURS",43.640839,3.857947,,,1
1266,6126,Georges Brassens,j'orge BRASSinsse,43.595692,3.862422,,,1
